earlier	later	earlier_name	later_name	relation
CL:0000811	CL:0000915	CD8-positive, alpha-beta thymocyte	CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell	develops from
CL:0000894	CL:0000806	DN1 thymic pro-T cell	DN2 thymocyte	develops from
CL:0000894	CL:0000941	DN1 thymic pro-T cell	thymic conventional dendritic cell	develops from
CL:0000894	CL:0000942	DN1 thymic pro-T cell	thymic plasmacytoid dendritic cell	develops from
CL:0000806	CL:0000807	DN2 thymocyte	DN3 thymocyte	develops from
CL:0002423	CL:0002424	DN2a thymocyte	DN2b thymocyte	develops from
CL:0000807	CL:0000808	DN3 thymocyte	DN4 thymocyte	develops from
CL:0000807	CL:0000799	DN3 thymocyte	immature gamma-delta T cell	develops from
CL:0000808	CL:0000805	DN4 thymocyte	immature single positive thymocyte	develops from
CL:0002346	CL:0002345	Dx5-negative, NK1.1-positive immature natural killer cell, mouse	CD27-low, CD11b-low immature natural killer cell, mouse	develops from
CL:0002013	CL:0002016	GlyA-positive basophilic erythroblast	CD71-low, GlyA-positive polychromatic erythroblast	develops from
CL:0002020	CL:0002021	GlyA-positive reticulocytes	GlyA-positive erythrocyte	develops from
CL:0002395	CL:0002398	Gr1-high classical monocyte	Gr1-positive, CD43-positive monocyte	develops from
CL:0002398	CL:0002058	Gr1-positive, CD43-positive monocyte	Gr1-low non-classical monocyte	develops from
CL:0002012	CL:0002014	Kit-low proerythroblast	Kit-negative, Ly-76 high basophilic erythroblast	develops from
CL:0002014	CL:0002015	Kit-negative, Ly-76 high basophilic erythroblast	Kit-negative, Ly-76 high polychromatophilic erythroblast	develops from
CL:0002017	CL:0002019	Kit-negative, Ly-76 high orthochromatophilic erythroblasts	Ly-76 high reticulocyte	develops from
CL:0002015	CL:0002017	Kit-negative, Ly-76 high polychromatophilic erythroblast	Kit-negative, Ly-76 high orthochromatophilic erythroblasts	develops from
CL:0002000	CL:0002012	Kit-positive erythroid progenitor cell	Kit-low proerythroblast	develops from
CL:0002002	CL:0002007	Kit-positive granulocyte monocyte progenitor	Kit-low, CD34-positive eosinophil progenitor cell	develops from
CL:0002002	CL:0002011	Kit-positive granulocyte monocyte progenitor	Kit-positive macrophage dendritic cell progenitor	develops from
CL:0002024	CL:0002027	Kit-positive megakaryocyte progenitor cell	CD9-positive, CD41-positive megakaryocyte cell	develops from
CL:0002006	CL:0002000	Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell	Kit-positive erythroid progenitor cell	develops from
CL:0002006	CL:0002024	Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell	Kit-positive megakaryocyte progenitor cell	develops from
CL:0001023	CL:0002002	Kit-positive, CD34-positive common myeloid progenitor	Kit-positive granulocyte monocyte progenitor	develops from
CL:0002044	CL:0002030	Kit-positive, integrin beta7-high basophil mast progenitor cell	Fc-epsilon RIalpha-high basophil progenitor cell	develops from
CL:0002044	CL:0002029	Kit-positive, integrin beta7-high basophil mast progenitor cell	Fc-epsilon RIalpha-low mast cell progenitor	develops from
CL:0009091	CL:0000178	Leydig stem cell	Leydig cell	develops from
CL:0002019	CL:0002022	Ly-76 high reticulocyte	Ly-76 high positive erythrocyte	develops from
CL:0020017	CL:0000863	M0 macrophage	M1 macrophage	develops from
CL:0020017	CL:0000890	M0 macrophage	M2 macrophage	develops from
CL:0002375	CL:0002377	Schwann cell precursor	immature Schwann cell	develops from
CL:0002035	CL:0001023	Slamf1-negative multipotent progenitor cell	Kit-positive, CD34-positive common myeloid progenitor	develops from
CL:0002035	CL:0000936	Slamf1-negative multipotent progenitor cell	early lymphoid progenitor	develops from
CL:0002036	CL:0002035	Slamf1-positive multipotent progenitor cell	Slamf1-negative multipotent progenitor cell	develops from
CL:0000958	CL:0000959	T1 B cell	T2 B cell	develops from
CL:0000959	CL:0000960	T2 B cell	T3 B cell	develops from
CL:0000928	CL:0000929	activated CD4-negative, CD8-negative type I NK T cell	CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma	develops from
CL:0000928	CL:0000930	activated CD4-negative, CD8-negative type I NK T cell	CD4-negative, CD8-negative type I NK T cell secreting interleukin-4	develops from
CL:0000925	CL:0000926	activated CD4-positive type I NK T cell	CD4-positive type I NK T cell secreting interferon-gamma	develops from
CL:0000925	CL:0000927	activated CD4-positive type I NK T cell	CD4-positive type I NK T cell secreting interleukin-4	develops from
CL:0000896	CL:0000492	activated CD4-positive, alpha-beta T cell	CD4-positive helper T cell	develops from
CL:0000896	CL:0000934	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta cytotoxic T cell	develops from
CL:0000896	CL:0001204	activated CD4-positive, alpha-beta T cell	CD4-positive, alpha-beta memory T cell, CD45RO-positive	develops from
CL:0000896	CL:0000902	activated CD4-positive, alpha-beta T cell	induced T-regulatory cell	develops from
